class,precision,recall,f1,support
allergens,0.958139534883721,0.9951690821256038,0.976303317535545,207.0
biological,0.9744897959183674,0.9845360824742269,0.9794871794871794,194.0
chemical,0.8620689655172413,0.8928571428571429,0.8771929824561403,28.0
food additives and flavourings,1.0,0.5,0.6666666666666666,2.0
foreign bodies,0.9130434782608695,1.0,0.9545454545454546,63.0
fraud,0.8571428571428571,0.7317073170731707,0.7894736842105263,41.0
organoleptic aspects,1.0,0.625,0.7692307692307693,8.0
other hazard,0.8181818181818182,0.6428571428571429,0.72,14.0
packaging defect,0.75,0.375,0.5,8.0
macro avg,0.9036740499894305,0.7496807519319209,0.8036555615702535,565.0
weighted avg,0.94096102104675,0.9433628318584071,0.9393781720979066,565.0
