class,precision,recall,f1,support
alcoholic beverages,1.0,1.0,1.0,7.0
cereals and bakery products,0.7215189873417721,0.76,0.7402597402597403,75.0
"cocoa and cocoa preparations, coffee and tea",0.5882352941176471,0.6666666666666666,0.625,15.0
confectionery,0.8125,0.5,0.6190476190476191,26.0
"dietetic foods, food supplements, fortified foods",0.55,0.7857142857142857,0.6470588235294118,14.0
fats and oils,1.0,0.5,0.6666666666666666,4.0
feed materials,1.0,1.0,1.0,1.0
fruits and vegetables,0.6964285714285714,0.75,0.7222222222222222,52.0
herbs and spices,0.6470588235294118,0.5789473684210527,0.6111111111111112,19.0
ices and desserts,0.84,0.875,0.8571428571428571,24.0
"meat, egg and dairy products",0.8441558441558441,0.8904109589041096,0.8666666666666667,146.0
non-alcoholic beverages,0.8571428571428571,0.9473684210526315,0.9,19.0
"nuts, nut products and seeds",0.8787878787878788,0.8787878787878788,0.8787878787878788,33.0
other food product / mixed,1.0,0.2,0.3333333333333333,10.0
pet feed,0.5,1.0,0.6666666666666666,1.0
prepared dishes and snacks,0.543859649122807,0.5535714285714286,0.5486725663716814,56.0
seafood,0.8846153846153846,0.8518518518518519,0.8679245283018868,27.0
"soups, broths, sauces and condiments",0.7666666666666667,0.6388888888888888,0.696969696969697,36.0
macro avg,0.7850538864949357,0.743178208269933,0.7359739098376354,565.0
weighted avg,0.767086867418942,0.7592920353982301,0.7545790662904421,565.0
