class,precision,recall,f1,support
alcoholic beverages,1.0,1.0,1.0,4.0
cereals and bakery products,0.7142857142857143,0.7746478873239436,0.7432432432432432,71.0
"cocoa and cocoa preparations, coffee and tea",0.625,0.6666666666666666,0.6451612903225806,15.0
confectionery,0.8125,0.5,0.6190476190476191,26.0
"dietetic foods, food supplements, fortified foods",0.5294117647058824,0.75,0.6206896551724138,12.0
fats and oils,1.0,0.5,0.6666666666666666,4.0
fruits and vegetables,0.7037037037037037,0.7450980392156863,0.7238095238095238,51.0
herbs and spices,0.625,0.5882352941176471,0.6060606060606061,17.0
ices and desserts,0.8333333333333334,0.8695652173913043,0.851063829787234,23.0
"meat, egg and dairy products",0.8435374149659864,0.8985507246376812,0.8701754385964913,138.0
non-alcoholic beverages,0.8333333333333334,0.9375,0.8823529411764706,16.0
"nuts, nut products and seeds",0.875,0.875,0.875,32.0
other food product / mixed,1.0,0.2222222222222222,0.36363636363636365,9.0
pet feed,0.5,1.0,0.6666666666666666,1.0
prepared dishes and snacks,0.5471698113207547,0.5370370370370371,0.5420560747663551,54.0
seafood,0.875,0.84,0.8571428571428571,25.0
"soups, broths, sauces and condiments",0.7586206896551724,0.6285714285714286,0.6875,35.0
macro avg,0.7691703391355225,0.7254761480696245,0.7188395750644172,533.0
weighted avg,0.7625950712836831,0.7560975609756098,0.7511313421050525,533.0
